title;url;release_date;points;months in top 100;average position in top 100;peak position;months in top 10;current position in top 100;months since leaving top 100
7 Wonders;https://boardgamegeek.com/boardgame/68448/7-wonders;2010;68.00520655390382;115;5.539130434782609;1;96;6;not applicable
Dominion;https://boardgamegeek.com/boardgame/36218/dominion;2008;54.32888181295828;124;12.258064516129032;1;70;23;not applicable
Carcassonne;https://boardgamegeek.com/boardgame/822/carcassonne;2000;44.52743330192446;124;8.887096774193548;3;86;4;not applicable
Splendor;https://boardgamegeek.com/boardgame/148228/splendor;2014;40.60517450793962;73;4.876712328767123;1;71;10;not applicable
Love Letter;https://boardgamegeek.com/boardgame/129622/love-letter;2012;39.006469697528495;91;13.802197802197803;1;45;32;not applicable
Pandemic;https://boardgamegeek.com/boardgame/30549/pandemic;2008;38.680029079949286;124;13.637096774193548;3;62;15;not applicable
King of Tokyo;https://boardgamegeek.com/boardgame/70323/king-tokyo;2011;35.68830368310604;108;17.90740740740741;2;36;61;not applicable
Agricola;https://boardgamegeek.com/boardgame/31260/agricola;2007;34.1880706390929;113;29.212389380530972;2;44;76;not applicable
Race for the Galaxy;https://boardgamegeek.com/boardgame/28143/race-galaxy;2007;33.214433001098996;124;26.85483870967742;2;35;35;not applicable
Terraforming Mars;https://boardgamegeek.com/boardgame/167791/terraforming-mars;2016;30.89901259923113;44;3.1363636363636362;1;43;3;not applicable
Codenames;https://boardgamegeek.com/boardgame/178900/codenames;2015;29.396696328850872;57;10.789473684210526;1;31;30;not applicable
Ticket to Ride;https://boardgamegeek.com/boardgame/9209/ticket-ride;2004;28.299903255550397;124;23.758064516129032;6;11;36;not applicable
The Castles of Burgundy;https://boardgamegeek.com/boardgame/84876/castles-burgundy;2011;26.96543175567704;110;19.78181818181818;8;10;11;not applicable
Catan;https://boardgamegeek.com/boardgame/13/catan;1995;26.197445019687322;124;28.79032258064516;7;13;37;not applicable
Stone Age;https://boardgamegeek.com/boardgame/34635/stone-age;2008;25.922876490150863;124;33.63709677419355;7;21;17;not applicable
Lords of Waterdeep;https://boardgamegeek.com/boardgame/110327/lords-waterdeep;2012;24.745526897257935;98;26.8265306122449;2;26;63;not applicable
Azul;https://boardgamegeek.com/boardgame/230802/azul;2017;24.219400785147453;31;4.193548387096774;1;30;2;not applicable
Dixit;https://boardgamegeek.com/boardgame/39856/dixit;2008;22.853884812789893;122;37.877049180327866;5;11;not applicable;2
Small World;https://boardgamegeek.com/boardgame/40692/small-world;2009;22.452265112725883;101;35.693069306930695;3;21;not applicable;20
7 Wonders Duel;https://boardgamegeek.com/boardgame/173346/7-wonders-duel;2015;21.813028889087832;55;8.672727272727272;2;36;7;not applicable
Scythe;https://boardgamegeek.com/boardgame/169786/scythe;2016;20.436981904509363;46;6.521739130434782;1;42;19;not applicable
Puerto Rico;https://boardgamegeek.com/boardgame/3076/puerto-rico;2002;20.398120794387403;105;41.75238095238095;6;14;48;not applicable
Power Grid;https://boardgamegeek.com/boardgame/2651/power-grid;2004;20.24000695968026;102;39.23529411764706;6;9;not applicable;2
Hanabi;https://boardgamegeek.com/boardgame/98778/hanabi;2010;19.811448274911253;91;34.824175824175825;4;16;53;not applicable
Ticket to Ride: Europe;https://boardgamegeek.com/boardgame/14996/ticket-ride-europe;2005;19.57697586075291;124;42.314516129032256;18;0;38;not applicable
Patchwork;https://boardgamegeek.com/boardgame/163412/patchwork;2014;18.47665393969092;63;15.34920634920635;4;22;14;not applicable
Lost Cities;https://boardgamegeek.com/boardgame/50/lost-cities;1999;16.84168666744191;123;58.146341463414636;22;0;33;not applicable
Gloomhaven;https://boardgamegeek.com/boardgame/174430/gloomhaven;2017;16.82884999107463;39;11.974358974358974;1;30;8;not applicable
Jaipur;https://boardgamegeek.com/boardgame/54043/jaipur;2009;16.153770380232046;109;52.58715596330275;18;0;18;not applicable
Kingdomino;https://boardgamegeek.com/boardgame/204583/kingdomino;2016;15.718968836340224;42;13.380952380952381;2;27;5;not applicable
Terra Mystica;https://boardgamegeek.com/boardgame/120677/terra-mystica;2012;15.419281419900768;78;37.61538461538461;4;6;44;not applicable
For Sale;https://boardgamegeek.com/boardgame/172/sale;1997;15.389500048791863;120;64.15;31;0;58;not applicable
Pandemic Legacy: Season 1;https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1;2015;15.277482388562365;55;30.254545454545454;2;19;68;not applicable
Star Realms;https://boardgamegeek.com/boardgame/147020/star-realms;2014;15.026729465037654;73;32.32876712328767;5;7;66;not applicable
Bohnanza;https://boardgamegeek.com/boardgame/11/bohnanza;1997;14.652460766844925;95;50.63157894736842;15;0;not applicable;9
Wingspan;https://boardgamegeek.com/boardgame/266192/wingspan;2019;14.532284849695733;16;1.6875;1;16;1;not applicable
Sushi Go!;https://boardgamegeek.com/boardgame/133473/sushi-go;2013;14.350714898429324;70;35.142857142857146;4;5;22;not applicable
No Thanks!;https://boardgamegeek.com/boardgame/12942/no-thanks;2004;14.262401815039954;112;64.58928571428571;31;0;not applicable;3
Forbidden Island;https://boardgamegeek.com/boardgame/65244/forbidden-island;2010;14.168310541334364;87;49.10344827586207;7;1;not applicable;27
Takenoko;https://boardgamegeek.com/boardgame/70919/takenoko;2011;13.76931342431552;94;54.680851063829785;18;0;25;not applicable
Roll for the Galaxy;https://boardgamegeek.com/boardgame/132531/roll-galaxy;2014;13.763045626951378;63;36.84126984126984;4;12;54;not applicable
The Resistance;https://boardgamegeek.com/boardgame/41114/resistance;2009;13.436488347821301;69;33.63768115942029;8;1;not applicable;46
Five Tribes;https://boardgamegeek.com/boardgame/157354/five-tribes;2014;12.920534703444588;67;41.014925373134325;4;8;78;not applicable
Tzolk'in: The Mayan Calendar;https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar;2012;12.748516170360546;77;57.38961038961039;4;7;40;not applicable
Citadels;https://boardgamegeek.com/boardgame/478/citadels;2000;12.497176946143602;74;42.945945945945944;15;0;not applicable;44
Coup;https://boardgamegeek.com/boardgame/131357/coup;2012;12.414500055584371;67;48.37313432835821;4;10;not applicable;10
Battlestar Galactica: The Board Game;https://boardgamegeek.com/boardgame/37111/battlestar-galactica-board-game;2008;12.011631728944257;67;39.91044776119403;13;0;not applicable;57
Twilight Struggle;https://boardgamegeek.com/boardgame/12333/twilight-struggle;2005;11.954286860095287;81;53.5679012345679;18;0;not applicable;42
Concordia;https://boardgamegeek.com/boardgame/124361/concordia;2013;11.894974783741972;78;47.12820512820513;21;0;55;not applicable
Sagrada;https://boardgamegeek.com/boardgame/199561/sagrada;2017;11.81956922387083;37;12.864864864864865;4;17;16;not applicable
Android: Netrunner;https://boardgamegeek.com/boardgame/124742/android-netrunner;2012;11.199145563899576;48;33.520833333333336;4;12;not applicable;44
Kingdom Builder;https://boardgamegeek.com/boardgame/107529/kingdom-builder;2011;10.615022883257382;62;50.12903225806452;8;2;not applicable;38
Istanbul;https://boardgamegeek.com/boardgame/148949/istanbul;2014;10.451236672782837;67;47.71641791044776;11;0;not applicable;5
6 nimmt!;https://boardgamegeek.com/boardgame/432/6-nimmt;1994;10.30668123213303;90;79.04444444444445;26;0;26;not applicable
Great Western Trail;https://boardgamegeek.com/boardgame/193738/great-western-trail;2016;10.024357924720325;43;22.162790697674417;8;4;39;not applicable
Machi Koro;https://boardgamegeek.com/boardgame/143884/machi-koro;2012;9.933380157981023;41;43.21951219512195;1;10;not applicable;28
The Lord of the Rings: The Card Game;https://boardgamegeek.com/boardgame/77423/lord-rings-card-game;2011;9.599181790762545;63;55.12698412698413;6;2;not applicable;43
Legendary: A Marvel Deck Building Game;https://boardgamegeek.com/boardgame/129437/legendary-marvel-deck-building-game;2012;9.282310302796496;66;56.04545454545455;20;0;not applicable;12
Mysterium;https://boardgamegeek.com/boardgame/181304/mysterium;2015;9.023776469252583;51;44.19607843137255;5;2;not applicable;3
Clank!: A Deck-Building Adventure;https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure;2016;8.854416815904026;42;26.952380952380953;8;3;43;not applicable
Innovation;https://boardgamegeek.com/boardgame/63888/innovation;2010;8.66840963958941;50;41.0;16;0;not applicable;68
Eclipse;https://boardgamegeek.com/boardgame/72125/eclipse;2011;8.606740112403;40;40.4;3;6;not applicable;59
Arkham Horror;https://boardgamegeek.com/boardgame/15987/arkham-horror;2005;8.600668626214027;49;36.89795918367347;18;0;not applicable;75
Galaxy Trucker;https://boardgamegeek.com/boardgame/31481/galaxy-trucker;2007;8.598679469658864;62;56.91935483870968;27;0;not applicable;60
Cosmic Encounter;https://boardgamegeek.com/boardgame/39463/cosmic-encounter;2008;8.584367520331371;71;71.07042253521126;39;0;not applicable;43
Dead of Winter: A Crossroads Game;https://boardgamegeek.com/boardgame/150376/dead-winter-crossroads-game;2014;8.57971320427441;38;33.526315789473685;4;7;not applicable;30
Alhambra;https://boardgamegeek.com/boardgame/6249/alhambra;2003;8.541423178476322;66;63.833333333333336;33;0;not applicable;49
Tsuro;https://boardgamegeek.com/boardgame/16992/tsuro;2004;8.305951695464875;68;70.76470588235294;34;0;not applicable;25
Through the Ages: A Story of Civilization;https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization;2006;8.197268630222698;52;47.75;17;0;not applicable;69
Blood Rage;https://boardgamegeek.com/boardgame/170216/blood-rage;2015;8.080698166273269;48;45.8125;13;0;not applicable;1
Arkham Horror: The Card Game;https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game;2016;8.069856866062258;42;28.976190476190474;14;0;28;not applicable
Isle of Skye: From Chieftain to King;https://boardgamegeek.com/boardgame/176494/isle-skye-chieftain-king;2015;8.048257488445573;49;46.204081632653065;10;1;not applicable;4
Century: Spice Road;https://boardgamegeek.com/boardgame/209685/century-spice-road;2017;7.990042455611341;35;33.57142857142857;2;5;96;not applicable
Santorini;https://boardgamegeek.com/boardgame/194655/santorini;2016;7.94682756728038;41;37.36585365853659;1;2;45;not applicable
Magic: The Gathering;https://boardgamegeek.com/boardgame/463/magic-gathering;1993;7.922926811968818;63;65.88888888888889;35;0;not applicable;55
Le Havre;https://boardgamegeek.com/boardgame/35677/le-havre;2008;7.876530492841461;49;48.3469387755102;15;0;not applicable;68
Tichu;https://boardgamegeek.com/boardgame/215/tichu;1991;7.80027610350944;49;45.3469387755102;21;0;not applicable;69
Suburbia;https://boardgamegeek.com/boardgame/123260/suburbia;2012;7.7904536833900355;48;46.958333333333336;12;0;not applicable;14
Dominion: Intrigue;https://boardgamegeek.com/boardgame/40834/dominion-intrigue;2009;7.78916235202618;43;41.06976744186046;11;0;not applicable;80
Camel Up;https://boardgamegeek.com/boardgame/153938/camel;2014;7.746398403673751;50;49.32;15;0;not applicable;16
Roll Through the Ages: The Bronze Age;https://boardgamegeek.com/boardgame/37380/roll-through-ages-bronze-age;2008;7.741286107038162;48;49.729166666666664;11;0;not applicable;74
Star Wars: X-Wing Miniatures Game;https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game;2012;7.678185477892621;46;42.76086956521739;8;1;not applicable;46
Viticulture Essential Edition;https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition;2015;7.664953232716258;48;44.291666666666664;19;0;29;not applicable
The Voyages of Marco Polo;https://boardgamegeek.com/boardgame/171623/voyages-marco-polo;2015;7.638928214060133;53;57.094339622641506;18;0;85;not applicable
Flash Point: Fire Rescue;https://boardgamegeek.com/boardgame/100901/flash-point-fire-rescue;2011;7.6362461543489175;56;60.660714285714285;25;0;not applicable;27
Robinson Crusoe: Adventures on the Cursed Island;https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-cursed-island;2012;7.633598026694145;55;59.07272727272727;17;0;89;not applicable
Eldritch Horror;https://boardgamegeek.com/boardgame/146021/eldritch-horror;2013;7.569552458785568;52;53.55769230769231;17;0;not applicable;22
Colt Express;https://boardgamegeek.com/boardgame/158899/colt-express;2014;7.520099002796198;50;53.82;15;0;70;not applicable
Coloretto;https://boardgamegeek.com/boardgame/5782/coloretto;2003;7.34238322711552;59;68.10169491525424;36;0;91;not applicable
Orléans;https://boardgamegeek.com/boardgame/164928/orleans;2014;7.340167672821;54;58.092592592592595;30;0;67;not applicable
Quarriors!;https://boardgamegeek.com/boardgame/91536/quarriors;2011;7.210941239428417;30;39.2;3;7;not applicable;71
Castles of Mad King Ludwig;https://boardgamegeek.com/boardgame/155426/castles-mad-king-ludwig;2014;7.185566242803878;38;37.94736842105263;10;1;not applicable;28
Hive;https://boardgamegeek.com/boardgame/2655/hive;2000;7.167063663941102;55;62.25454545454546;32;0;not applicable;67
Elder Sign;https://boardgamegeek.com/boardgame/100423/elder-sign;2011;7.038027099767722;52;66.15384615384616;7;1;not applicable;42
Alien Frontiers;https://boardgamegeek.com/boardgame/48726/alien-frontiers;2010;6.973856485432346;44;51.52272727272727;6;2;not applicable;60
Welcome To...;https://boardgamegeek.com/boardgame/233867/welcome;2018;6.961597929497356;23;16.52173913043478;5;12;9;not applicable
Smash Up;https://boardgamegeek.com/boardgame/122522/smash;2012;6.951785468491331;48;54.041666666666664;20;0;not applicable;43
San Juan;https://boardgamegeek.com/boardgame/8217/san-juan;2004;6.934896261393736;50;57.0;27;0;not applicable;68
Seasons;https://boardgamegeek.com/boardgame/108745/seasons;2012;6.927364475933449;41;49.36585365853659;4;2;97;not applicable
The Quacks of Quedlinburg;https://boardgamegeek.com/boardgame/244521/quacks-quedlinburg;2018;6.894391916895445;18;14.055555555555555;4;14;12;not applicable
Kingsburg;https://boardgamegeek.com/boardgame/27162/kingsburg;2007;6.797693664026642;52;62.92307692307692;33;0;not applicable;67
Diamant;https://boardgamegeek.com/boardgame/15512/diamant;2005;6.7392280735505325;55;70.23636363636363;37;0;69;not applicable
Caverna: The Cave Farmers;https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers;2013;6.715976625404292;46;57.391304347826086;16;0;not applicable;13
Glory to Rome;https://boardgamegeek.com/boardgame/19857/glory-rome;2005;6.5899281926448365;41;44.63414634146341;12;0;not applicable;76
Mansions of Madness: Second Edition;https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition;2016;6.560846917487517;44;54.15909090909091;11;0;95;not applicable
The Mind;https://boardgamegeek.com/boardgame/244992/mind;2018;6.545172798162041;25;20.96;4;6;not applicable;1
That's Pretty Clever;https://boardgamegeek.com/boardgame/244522/s-pretty-clever;2018;6.4112545781887595;24;15.041666666666666;7;3;20;not applicable
Hey, That's My Fish!;https://boardgamegeek.com/boardgame/8203/hey-s-my-fish;2003;6.372522625806212;52;68.98076923076923;39;0;not applicable;64
