title;url;release_date;points;months in top 100;average position in top 100;peak position;months in top 10;current position in top 100;months since leaving top 100
Ticket to Ride: Europe;https://boardgamegeek.com/boardgame/14996/ticket-to-ride-europe;2005;24.720970534158692;160;44.36875;17;0;60;not applicable
Dixit;https://boardgamegeek.com/boardgame/39856/dixit;2008;23.901877388958216;131;40.42748091603053;5;10;not applicable;3
Small World;https://boardgamegeek.com/boardgame/40692/small-world;2009;22.570562328890155;102;36.01960784313726;3;21;not applicable;34
Hanabi;https://boardgamegeek.com/boardgame/98778/hanabi;2010;22.18139053580186;112;43.125;4;16;not applicable;4
Lost Cities;https://boardgamegeek.com/boardgame/50/lost-cities;1999;21.81298407239046;160;57.825;22;0;61;not applicable
Jaipur;https://boardgamegeek.com/boardgame/54043/jaipur;2009;21.751395683170472;142;48.183098591549296;18;0;50;not applicable
Puerto Rico;https://boardgamegeek.com/boardgame/3076/puerto-rico;2002;21.005299365368394;110;43.3;6;14;not applicable;33
Power Grid;https://boardgamegeek.com/boardgame/2651/power-grid;2004;20.357292351267546;103;39.53398058252427;6;9;not applicable;38
Sagrada;https://boardgamegeek.com/boardgame/199561/sagrada;2017;19.65027979552838;73;17.301369863013697;4;18;26;not applicable
The Quacks of Quedlinburg;https://boardgamegeek.com/boardgame/244521/the-quacks-of-quedlinburg;2018;19.189080456519108;54;10.648148148148149;4;40;12;not applicable
Sushi Go!;https://boardgamegeek.com/boardgame/133473/sushi-go;2013;19.00658270786627;106;44.056603773584904;4;5;80;not applicable
For Sale;https://boardgamegeek.com/boardgame/172/sale;1997;18.742900763964563;151;68.58940397350993;31;0;97;not applicable
Star Realms;https://boardgamegeek.com/boardgame/147020/star-realms;2014;17.816372117345967;100;47.07;5;7;not applicable;7
Terra Mystica;https://boardgamegeek.com/boardgame/120677/terra-mystica;2012;17.228133592320347;93;44.60215053763441;3;6;not applicable;22
No Thanks!;https://boardgamegeek.com/boardgame/12942/no-thanks;2004;17.01194041007378;136;66.76470588235294;31;0;75;not applicable
Takenoko;https://boardgamegeek.com/boardgame/70919/takenoko;2011;16.849092879283145;119;58.21008403361345;18;0;not applicable;4
Take 5;https://boardgamegeek.com/boardgame/432/take-5;1994;16.562399000916074;130;68.21538461538462;24;0;40;not applicable
Pandemic Legacy: Season 1;https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1;2015;16.376063136357345;64;36.609375;2;19;not applicable;27
Concordia;https://boardgamegeek.com/boardgame/124361/concordia;2013;16.07368321538946;114;55.55263157894737;22;0;96;not applicable
Welcome To...;https://boardgamegeek.com/boardgame/233867/welcome;2018;15.78491813742567;59;17.64406779661017;5;16;30;not applicable
Roll for the Galaxy;https://boardgamegeek.com/boardgame/132531/roll-galaxy;2014;15.472495165073466;78;43.294871794871796;4;12;not applicable;21
Bohnanza;https://boardgamegeek.com/boardgame/11/bohnanza;1997;14.79961218565338;96;50.760416666666664;15;0;not applicable;45
Great Western Trail;https://boardgamegeek.com/boardgame/193738/great-western-trail;2016;14.796071769547105;76;34.76315789473684;8;3;not applicable;2
Everdell;https://boardgamegeek.com/boardgame/199792/everdell;2018;14.766372741074342;51;16.92156862745098;3;20;11;not applicable
Five Tribes: The Djinns of Naqala;https://boardgamegeek.com/boardgame/157354/five-tribes-the-djinns-of-naqala;2014;14.68210610281633;83;49.373493975903614;4;8;not applicable;7
Viticulture Essential Edition;https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition;2015;14.275724088292915;84;38.404761904761905;19;0;43;not applicable
Tzolk'in: The Mayan Calendar;https://boardgamegeek.com/boardgame/126163/tzolkin-the-mayan-calendar;2012;14.241251333389604;89;59.53932584269663;4;7;not applicable;24
Forbidden Island;https://boardgamegeek.com/boardgame/65244/forbidden-island;2010;14.140113307546025;87;49.264367816091955;7;1;not applicable;63
Clank!: A Deck-Building Adventure;https://boardgamegeek.com/boardgame/201808/clank-a-deck-building-adventure;2016;14.054377621384079;78;37.91025641025641;8;3;85;not applicable
Arkham Horror: The Card Game;https://boardgamegeek.com/boardgame/205637/arkham-horror-the-card-game;2016;13.902990848332312;78;33.96153846153846;14;0;62;not applicable
Spirit Island;https://boardgamegeek.com/boardgame/162886/spirit-island;2017;13.592240970470074;65;25.16923076923077;12;0;21;not applicable
The Resistance;https://boardgamegeek.com/boardgame/41114/resistance;2009;13.39966586907685;69;33.81159420289855;9;1;not applicable;82
Lost Ruins of Arnak;https://boardgamegeek.com/boardgame/312484/lost-ruins-of-arnak;2020;13.282632763055066;29;7.172413793103448;2;25;8;not applicable
That's Pretty Clever!;https://boardgamegeek.com/boardgame/244522/thats-pretty-clever;2018;12.825060473333359;60;25.666666666666668;8;3;49;not applicable
Coup;https://boardgamegeek.com/boardgame/131357/coup;2012;12.5756844964603;69;49.971014492753625;4;10;not applicable;40
Citadels;https://boardgamegeek.com/boardgame/478/citadels;2000;12.528472323303694;74;42.86486486486486;15;0;not applicable;80
The Crew: The Quest for Planet Nine;https://boardgamegeek.com/boardgame/284083/crew-quest-planet-nine;2019;12.479502668412982;42;23.476190476190474;3;19;57;not applicable
Battlestar Galactica: The Board Game;https://boardgamegeek.com/boardgame/37111/battlestar-galactica-board-game;2008;12.044332111299568;67;39.73134328358209;13;0;not applicable;93
Twilight Struggle;https://boardgamegeek.com/boardgame/12333/twilight-struggle;2005;11.923379600158698;81;53.98765432098765;18;0;not applicable;78
Just One;https://boardgamegeek.com/boardgame/254640/just-one;2018;11.855995078324737;53;27.60377358490566;4;7;16;not applicable
Kingdom Builder;https://boardgamegeek.com/boardgame/107529/kingdom-builder;2011;11.585539051836358;69;50.78260869565217;8;2;not applicable;24
Root;https://boardgamegeek.com/boardgame/237182/root;2018;11.298374659985784;57;29.70175438596491;6;1;45;not applicable
Ark Nova;https://boardgamegeek.com/boardgame/342942/ark-nova;2021;11.179551716309174;17;6.705882352941177;1;14;2;not applicable
Android: Netrunner;https://boardgamegeek.com/boardgame/124742/android-netrunner;2012;11.086817522398324;48;33.645833333333336;5;11;not applicable;80
Santorini;https://boardgamegeek.com/boardgame/194655/santorini;2016;10.596838137327705;63;49.80952380952381;1;2;92;not applicable
Can't Stop;https://boardgamegeek.com/boardgame/41/cant-stop;1980;10.54424661641224;79;60.75949367088607;19;0;46;not applicable
Istanbul;https://boardgamegeek.com/boardgame/148949/istanbul;2014;10.359224057103269;66;46.78787878787879;11;0;not applicable;41
Cartographers;https://boardgamegeek.com/boardgame/263918/cartographers;2019;10.278366074428027;44;21.181818181818183;7;4;42;not applicable
Dune: Imperium;https://boardgamegeek.com/boardgame/316554/dune-imperium;2020;10.225547807617007;29;12.206896551724139;4;23;6;not applicable
Sushi Go Party!;https://boardgamegeek.com/boardgame/192291/sushi-go-party;2016;10.123497020073435;78;63.282051282051285;32;0;78;not applicable
Cascadia;https://boardgamegeek.com/boardgame/295947/cascadia;2021;10.078089810563247;21;6.0;2;17;4;not applicable
Machi Koro;https://boardgamegeek.com/boardgame/143884/machi-koro;2012;9.994564961046565;41;42.5609756097561;1;10;not applicable;63
Marvel Champions: The Card Game;https://boardgamegeek.com/boardgame/285774/marvel-champions-card-game;2019;9.985782386530483;42;19.38095238095238;7;2;35;not applicable
Brass: Birmingham;https://boardgamegeek.com/boardgame/224517/brass-birmingham;2018;9.885213882363907;57;36.64912280701754;16;0;23;not applicable
The Lord of the Rings: The Card Game;https://boardgamegeek.com/boardgame/77423/the-lord-of-the-rings-the-card-game;2011;9.691877008421448;64;55.796875;6;2;not applicable;79
Mysterium;https://boardgamegeek.com/boardgame/181304/mysterium;2015;9.439127217467833;55;47.836363636363636;5;2;not applicable;6
Space Base;https://boardgamegeek.com/boardgame/242302/space-base;2018;9.31034525827113;59;48.16949152542373;13;0;32;not applicable
Blood Rage;https://boardgamegeek.com/boardgame/170216/blood-rage;2015;9.243809184580591;59;53.94915254237288;13;0;not applicable;7
Alhambra;https://boardgamegeek.com/boardgame/6249/alhambra;2003;9.18398981395411;71;63.40845070422535;34;0;not applicable;24
Legendary: A Marvel Deck Building Game;https://boardgamegeek.com/boardgame/129437/legendary-a-marvel-deck-building-game;2012;9.08337500689735;64;54.71875;20;0;not applicable;48
Century: Spice Road;https://boardgamegeek.com/boardgame/209685/century-spice-road;2017;8.972248396250572;44;43.93181818181818;2;5;not applicable;8
Galaxy Trucker;https://boardgamegeek.com/boardgame/31481/galaxy-trucker;2007;8.702694331553094;63;57.63492063492063;27;0;not applicable;95
Innovation;https://boardgamegeek.com/boardgame/63888/innovation;2010;8.637500626197799;50;41.48;16;0;not applicable;104
Arkham Horror;https://boardgamegeek.com/boardgame/15987/arkham-horror;2005;8.629303387644264;49;36.53061224489796;17;0;not applicable;111
Eclipse: New Dawn for the Galaxy;https://boardgamegeek.com/boardgame/72125/eclipse-new-dawn-galaxy;2011;8.563880620734059;40;40.325;3;6;not applicable;95
Orléans;https://boardgamegeek.com/boardgame/164928/orleans;2014;8.519899016033474;65;62.93846153846154;30;0;not applicable;24
Dead of Winter: A Crossroads Game;https://boardgamegeek.com/boardgame/150376/dead-of-winter-a-crossroads-game;2014;8.449877410943136;37;31.972972972972972;4;7;not applicable;66
Architects of the West Kingdom;https://boardgamegeek.com/boardgame/236457/architects-of-the-west-kingdom;2018;8.358548580862246;50;47.92;5;3;33;not applicable
Magic: The Gathering;https://boardgamegeek.com/boardgame/463/magic-the-gathering;1993;8.33012591900591;66;65.74242424242425;34;0;not applicable;91
Tsuro;https://boardgamegeek.com/boardgame/16992/tsuro;2005;8.289334343995568;68;70.94117647058823;34;0;not applicable;60
Cosmic Encounter;https://boardgamegeek.com/boardgame/39463/cosmic-encounter;2008;8.240836817703283;68;70.55882352941177;38;0;not applicable;79
The Voyages of Marco Polo;https://boardgamegeek.com/boardgame/171623/the-voyages-of-marco-polo;2015;8.15888596560516;57;57.01754385964912;18;0;not applicable;29
Robinson Crusoe: Adventures on the Cursed Island;https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island;2012;8.072780349102745;59;60.779661016949156;17;0;not applicable;24
Through the Ages: A Story of Civilization;https://boardgamegeek.com/boardgame/25613/through-the-ages-a-story-of-civilization;2006;8.06871400196205;51;46.90196078431372;18;0;not applicable;105
Isle of Skye: From Chieftain to King;https://boardgamegeek.com/boardgame/176494/isle-skye-chieftain-king;2015;8.029550039072758;49;46.53061224489796;10;1;not applicable;40
The Mind;https://boardgamegeek.com/boardgame/244992/the-mind;2018;8.005754537095509;38;40.8421052631579;4;7;not applicable;4
Tichu;https://boardgamegeek.com/boardgame/215/tichu;1991;7.960344229231623;50;45.72;21;0;not applicable;104
Camel Up;https://boardgamegeek.com/boardgame/153938/camel;2014;7.933114710662996;52;51.38461538461539;14;0;not applicable;52
Roll Through the Ages: The Bronze Age;https://boardgamegeek.com/boardgame/37380/roll-through-ages-bronze-age;2008;7.877331884860005;49;50.12244897959184;11;0;not applicable;110
Le Havre;https://boardgamegeek.com/boardgame/35677/le-havre;2008;7.860684791069907;49;48.53061224489796;15;0;not applicable;104
Point Salad;https://boardgamegeek.com/boardgame/274960/point-salad;2019;7.845087115961148;45;36.77777777777778;14;0;51;not applicable
Dominion: Intrigue;https://boardgamegeek.com/boardgame/40834/dominion-intrigue;2009;7.791171924960444;43;41.02325581395349;11;0;not applicable;116
Colt Express;https://boardgamegeek.com/boardgame/158899/colt-express;2014;7.789479445610472;52;54.19230769230769;15;0;not applicable;34
Suburbia;https://boardgamegeek.com/boardgame/123260/suburbia;2012;7.756997162009455;48;47.375;12;0;not applicable;50
Star Wars: X-Wing Miniatures Game;https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game;2012;7.666398193414458;46;42.65217391304348;8;1;not applicable;82
Potion Explosion;https://boardgamegeek.com/boardgame/180974/potion-explosion;2015;7.651672370314806;60;68.03333333333333;15;0;not applicable;1
Res Arcana;https://boardgamegeek.com/boardgame/262712/res-arcana;2019;7.606061044274128;49;48.44897959183673;6;1;76;not applicable
Eldritch Horror;https://boardgamegeek.com/boardgame/146021/eldritch-horror;2013;7.572668369401168;52;53.40384615384615;17;0;not applicable;58
Flash Point: Fire Rescue;https://boardgamegeek.com/boardgame/100901/flash-point-fire-rescue;2011;7.53621554625662;55;59.92727272727273;25;0;not applicable;81
Mansions of Madness: Second Edition;https://boardgamegeek.com/boardgame/205059/mansions-of-madness-second-edition;2016;7.536052166640641;53;59.41509433962264;11;0;not applicable;6
Coloretto;https://boardgamegeek.com/boardgame/5782/coloretto;2003;7.458636035176986;60;68.25;36;0;not applicable;34
Tapestry;https://boardgamegeek.com/boardgame/286096/tapestry;2019;7.429518904874595;44;54.04545454545455;3;3;68;not applicable
Seasons;https://boardgamegeek.com/boardgame/108745/seasons;2012;7.27662480589213;44;51.72727272727273;4;2;not applicable;36
Castles of Mad King Ludwig;https://boardgamegeek.com/boardgame/155426/castles-of-mad-king-ludwig;2014;7.2647241234367534;39;39.87179487179487;10;1;not applicable;62
Quarriors!;https://boardgamegeek.com/boardgame/91536/quarriors;2011;7.188121113162979;30;39.36666666666667;3;7;not applicable;107
Incan Gold;https://boardgamegeek.com/boardgame/15512/incan-gold;2005;7.165576638848379;59;71.50847457627118;37;0;not applicable;28
Hive;https://boardgamegeek.com/boardgame/2655/hive;2001;7.148730033560242;55;62.54545454545455;33;0;not applicable;103
Gaia Project;https://boardgamegeek.com/boardgame/220308/gaia-project;2017;7.013690073833249;56;70.58928571428571;23;0;not applicable;1
Alien Frontiers;https://boardgamegeek.com/boardgame/48726/alien-frontiers;2010;6.975870012564323;44;51.63636363636363;6;2;not applicable;96
Elder Sign;https://boardgamegeek.com/boardgame/100423/elder-sign;2011;6.947507823126867;51;65.43137254901961;7;1;not applicable;78
Smash Up;https://boardgamegeek.com/boardgame/122522/smash-up;2012;6.943508969528547;48;53.9375;21;0;not applicable;79
San Juan;https://boardgamegeek.com/boardgame/8217/san-juan;2004;6.927775779987758;50;57.18;27;0;not applicable;104
A Feast for Odin;https://boardgamegeek.com/boardgame/177736/feast-odin;2016;6.886629342430164;56;74.14285714285714;11;0;not applicable;2
The Isle of Cats;https://boardgamegeek.com/boardgame/281259/the-isle-of-cats;2019;6.726237375946145;40;37.95;13;0;58;not applicable
Caverna: The Cave Farmers;https://boardgamegeek.com/boardgame/102794/caverna-the-cave-farmers;2013;6.722157747506078;46;57.15217391304348;16;0;not applicable;49
PARKS;https://boardgamegeek.com/boardgame/266524/parks;2019;6.708836130327079;42;43.857142857142854;17;0;54;not applicable
It's a Wonderful World;https://boardgamegeek.com/boardgame/271324/its-wonderful-world;2019;6.701440026448953;41;43.1219512195122;19;0;29;not applicable
Kingsburg;https://boardgamegeek.com/boardgame/27162/kingsburg;2007;6.69615279905929;51;62.411764705882355;33;0;not applicable;103
Betrayal at House on the Hill;https://boardgamegeek.com/boardgame/10547/betrayal-house-hill;2004;6.487303186218565;52;70.88461538461539;16;0;not applicable;42
Glory to Rome;https://boardgamegeek.com/boardgame/19857/glory-rome;2005;6.474294727472879;40;43.6;12;0;not applicable;114
Gloomhaven: Jaws of the Lion;https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion;2020;6.469510343323617;34;30.676470588235293;12;0;44;not applicable
Hey, That's My Fish!;https://boardgamegeek.com/boardgame/8203/hey-thats-my-fish;2003;6.373516239464057;52;68.86538461538461;39;0;not applicable;100
Qwixx;https://boardgamegeek.com/boardgame/131260/qwixx;2012;6.2905097564188255;58;87.32758620689656;34;0;not applicable;8
The Quest for El Dorado;https://boardgamegeek.com/boardgame/217372/the-quest-for-el-dorado;2017;6.194219878027025;53;73.77358490566037;61;0;64;not applicable
The Resistance: Avalon;https://boardgamegeek.com/boardgame/128882/resistance-avalon;2012;6.186115349291229;45;58.75555555555555;31;0;not applicable;80
Sheriff of Nottingham;https://boardgamegeek.com/boardgame/157969/sheriff-nottingham;2014;6.053841860941;40;54.95;10;1;not applicable;61
Ra;https://boardgamegeek.com/boardgame/12/ra;1999;6.0500678669789405;42;55.42857142857143;20;0;20;not applicable
BANG! The Dice Game;https://boardgamegeek.com/boardgame/143741/bang-dice-game;2013;6.04489146396115;46;64.84782608695652;18;0;not applicable;64
Thunderstone;https://boardgamegeek.com/boardgame/53953/thunderstone;2009;5.961574055239858;31;35.45161290322581;10;1;not applicable;128
Mage Knight Board Game;https://boardgamegeek.com/boardgame/96848/mage-knight-board-game;2011;5.950926387163062;39;52.717948717948715;13;0;not applicable;91
Sentinels of the Multiverse;https://boardgamegeek.com/boardgame/102652/sentinels-multiverse;2011;5.812020073931256;38;49.55263157894737;17;0;not applicable;85
Imperial Settlers;https://boardgamegeek.com/boardgame/154203/imperial-settlers;2014;5.787709158446572;36;46.25;13;0;not applicable;69
Village;https://boardgamegeek.com/boardgame/104006/village;2011;5.746459333419885;39;60.282051282051285;8;2;not applicable;91
Dice Forge;https://boardgamegeek.com/boardgame/194594/dice-forge;2017;5.725153634060328;40;57.45;13;0;not applicable;24
Troyes;https://boardgamegeek.com/boardgame/73439/troyes;2010;5.578613481191821;37;56.7027027027027;10;2;not applicable;36
Keyflower;https://boardgamegeek.com/boardgame/122515/keyflower;2012;5.554391336579084;45;67.6;43;0;not applicable;79
Caylus;https://boardgamegeek.com/boardgame/18602/caylus;2005;5.528204301104441;42;61.76190476190476;29;0;not applicable;117
Zombie Dice;https://boardgamegeek.com/boardgame/62871/zombie-dice;2010;5.526631260348615;48;77.79166666666667;37;0;not applicable;95
Saint Petersburg;https://boardgamegeek.com/boardgame/9217/saint-petersburg;2004;5.519322492112067;41;58.65853658536585;34;0;not applicable;116
Memoir '44;https://boardgamegeek.com/boardgame/10630/memoir-44;2004;5.519182541997876;42;61.833333333333336;34;0;not applicable;106
Survive: Escape from Atlantis!;https://boardgamegeek.com/boardgame/2653/survive-escape-from-atlantis;1982;5.412404355860664;43;68.79069767441861;27;0;not applicable;94
Calico;https://boardgamegeek.com/boardgame/283155/calico;2020;5.4041076103969585;32;38.46875;17;0;59;not applicable
Tiny Towns;https://boardgamegeek.com/boardgame/265736/tiny-towns;2019;5.3536584268983125;34;54.94117647058823;6;2;not applicable;13
One Night Ultimate Werewolf;https://boardgamegeek.com/boardgame/147949/one-night-ultimate-werewolf;2014;5.333723648595776;36;51.5;21;0;not applicable;64
Draftosaurus;https://boardgamegeek.com/boardgame/264055/draftosaurus;2019;5.318845762578467;36;52.55555555555556;11;0;67;not applicable
Bärenpark;https://boardgamegeek.com/boardgame/219513/barenpark;2017;5.2496648404623105;41;66.48780487804878;21;0;not applicable;5
Thurn and Taxis;https://boardgamegeek.com/boardgame/21790/thurn-and-taxis;2006;5.237144211495768;40;62.45;33;0;not applicable;116
Escape: The Curse of the Temple;https://boardgamegeek.com/boardgame/113294/escape-curse-temple;2012;5.1666528325244645;30;48.8;7;3;not applicable;97
Port Royal;https://boardgamegeek.com/boardgame/156009/port-royal;2014;5.0055641147981165;44;79.04545454545455;54;0;not applicable;32
Underwater Cities;https://boardgamegeek.com/boardgame/247763/underwater-cities;2018;4.991936208718856;38;62.078947368421055;27;0;not applicable;7
Teotihuacan: City of Gods;https://boardgamegeek.com/boardgame/229853/teotihuacan-city-of-gods;2018;4.83077928002825;32;54.6875;16;0;not applicable;19
Fantasy Realms;https://boardgamegeek.com/boardgame/223040/fantasy-realms;2017;4.7197511388438596;31;48.29032258064516;26;0;48;not applicable
Forbidden Desert;https://boardgamegeek.com/boardgame/136063/forbidden-desert;2013;4.5702380693656774;35;63.142857142857146;29;0;not applicable;79
Descent: Journeys in the Dark (Second Edition);https://boardgamegeek.com/boardgame/104162/descent-journeys-in-the-dark-second-edition;2012;4.563375612914846;32;56.65625;12;0;not applicable;79
Raiders of the North Sea;https://boardgamegeek.com/boardgame/170042/raiders-of-the-north-sea;2015;4.549666846909969;34;59.6764705882353;26;0;not applicable;30
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set;https://boardgamegeek.com/boardgame/133038/pathfinder-adventure-card-game-rise-of-the-runelor;2013;4.541552378505803;23;44.30434782608695;5;3;not applicable;94
Star Wars: Imperial Assault;https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault;2014;4.501494314043391;30;50.4;23;0;not applicable;62
RoboRally;https://boardgamegeek.com/boardgame/18/roborally;1994;4.472305628495205;39;77.61538461538461;53;0;not applicable;116
Clans of Caledonia;https://boardgamegeek.com/boardgame/216132/clans-caledonia;2017;4.447641565100458;31;66.6774193548387;3;1;not applicable;25
Terraforming Mars: Ares Expedition;https://boardgamegeek.com/boardgame/328871/terraforming-mars-ares-expedition;2021;4.433172066252657;22;29.181818181818183;11;0;24;not applicable
Nemesis;https://boardgamegeek.com/boardgame/167355/nemesis;2018;4.421909122671064;36;69.94444444444444;37;0;91;not applicable
Saboteur;https://boardgamegeek.com/boardgame/9220/saboteur;2004;4.322662888332606;39;82.56410256410257;56;0;not applicable;108
Ascension: Deckbuilding Game;https://boardgamegeek.com/boardgame/69789/ascension-deckbuilding-game;2010;4.309724286843541;28;50.464285714285715;12;0;not applicable;122
Biblios;https://boardgamegeek.com/boardgame/34219/biblios;2007;4.28306039356286;38;80.76315789473684;45;0;not applicable;69
Hansa Teutonica;https://boardgamegeek.com/boardgame/43015/hansa-teutonica;2009;4.213077373470155;28;51.785714285714285;24;0;not applicable;127
Codenames: Duet;https://boardgamegeek.com/boardgame/224037/codenames-duet;2017;4.195144181289276;32;67.875;24;0;not applicable;16
Red7;https://boardgamegeek.com/boardgame/161417/red7;2014;4.161944312134831;32;65.34375;27;0;not applicable;36
Magic Maze;https://boardgamegeek.com/boardgame/209778/magic-maze;2017;4.042422449651089;24;45.125;11;0;not applicable;46
Grand Austria Hotel;https://boardgamegeek.com/boardgame/182874/grand-austria-hotel;2015;3.993800049053018;34;74.8529411764706;43;0;79;not applicable
Spyfall;https://boardgamegeek.com/boardgame/166384/spyfall;2014;3.9854112174216394;22;40.81818181818182;7;2;not applicable;74
Brass: Lancashire;https://boardgamegeek.com/boardgame/28720/brass-lancashire;2007;3.958621409473643;30;66.73333333333333;11;0;not applicable;53
Dominant Species;https://boardgamegeek.com/boardgame/62219/dominant-species;2010;3.9408841842910234;27;55.7037037037037;17;0;not applicable;118
Azul: Summer Pavilion;https://boardgamegeek.com/boardgame/287954/azul-summer-pavilion;2019;3.8826119075160106;28;60.285714285714285;19;0;not applicable;14
T.I.M.E Stories;https://boardgamegeek.com/boardgame/146508/time-stories;2015;3.7743278673762215;27;57.888888888888886;25;0;not applicable;63
Cards Against Humanity;https://boardgamegeek.com/boardgame/50381/cards-against-humanity;2009;3.754523629652941;31;72.12903225806451;31;0;not applicable;88
Pandemic Legacy: Season 2;https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2;2017;3.747467853656463;20;44.7;8;4;not applicable;46
Las Vegas;https://boardgamegeek.com/boardgame/117959/las-vegas;2012;3.7245477909284377;33;81.21212121212122;36;0;not applicable;52
Flamme Rouge;https://boardgamegeek.com/boardgame/199478/flamme-rouge;2016;3.6939011117142178;30;67.8;44;0;not applicable;38
Railroad Ink: Deep Blue Edition;https://boardgamegeek.com/boardgame/245654/railroad-ink-deep-blue-edition;2018;3.6292239567334237;29;70.65517241379311;21;0;not applicable;9
Roll Player;https://boardgamegeek.com/boardgame/169426/roll-player;2016;3.581646414110971;28;67.75;20;0;not applicable;30
Battle Line;https://boardgamegeek.com/boardgame/760/battle-line;2000;3.5707154074820644;32;81.34375;56;0;not applicable;117
Dungeon Lords;https://boardgamegeek.com/boardgame/45315/dungeon-lords;2009;3.5620063078735678;20;51.25;6;2;not applicable;138
Charterstone;https://boardgamegeek.com/boardgame/197376/charterstone;2017;3.5371605047641568;16;32.5;6;3;not applicable;49
Russian Railroads;https://boardgamegeek.com/boardgame/144733/russian-railroads;2013;3.5304135602739493;24;58.666666666666664;16;0;not applicable;35
Dominion: Seaside;https://boardgamegeek.com/boardgameexpansion/51811/dominion-seaside;2009;3.519647742996821;22;49.68181818181818;14;0;not applicable;138
Nidavellir;https://boardgamegeek.com/boardgame/293014/nidavellir;2020;3.473347199611708;25;61.4;14;0;not applicable;1
Ingenious;https://boardgamegeek.com/boardgame/9674/ingenious;2004;3.456109110377156;27;65.33333333333333;33;0;not applicable;128
7 Wonders: Architects;https://boardgamegeek.com/boardgame/346703/7-wonders-architects;2021;3.42670762750262;18;30.72222222222222;13;0;56;not applicable
Tigris & Euphrates;https://boardgamegeek.com/boardgame/42/tigris-and-euphrates;1997;3.413182754229422;30;78.86666666666666;55;0;not applicable;128
Perudo;https://boardgamegeek.com/boardgame/45/perudo;1800;3.33209276398871;30;83.03333333333333;53;0;not applicable;112
Endeavor;https://boardgamegeek.com/boardgame/33160/endeavor;2009;3.3283555745307587;20;48.8;11;0;not applicable;139
