title;url;release_date;points;months in top 100;average position in top 100;peak position;months in top 10;current position in top 100;months since leaving top 100
7 Wonders;https://boardgamegeek.com/boardgame/68448/7-wonders;2010;77.15339596774248;151;8.721854304635762;1;103;25;not applicable
Dominion;https://boardgamegeek.com/boardgame/36218/dominion;2008;59.54801566523395;160;21.34375;1;69;66;not applicable
Carcassonne;https://boardgamegeek.com/boardgame/822/carcassonne;2000;55.611805610832704;160;9.38125;3;97;15;not applicable
Splendor;https://boardgamegeek.com/boardgame/148228/splendor;2014;51.921591578353095;109;6.660550458715596;1;90;14;not applicable
Terraforming Mars;https://boardgamegeek.com/boardgame/167791/terraforming-mars;2016;51.49409283792029;80;3.35;1;79;7;not applicable
Wingspan;https://boardgamegeek.com/boardgame/266192/wingspan;2019;49.02885345059238;52;1.3269230769230769;1;52;1;not applicable
Love Letter;https://boardgamegeek.com/boardgame/129622/love-letter;2012;44.43630482505114;127;23.086614173228348;1;45;63;not applicable
Pandemic;https://boardgamegeek.com/boardgame/30549/pandemic;2008;43.70624350995452;160;23.3375;3;63;84;not applicable
Azul;https://boardgamegeek.com/boardgame/230802/azul;2017;43.460261938726894;67;3.955223880597015;1;66;5;not applicable
King of Tokyo;https://boardgamegeek.com/boardgame/70323/king-of-tokyo;2011;40.94373636954925;144;25.930555555555557;2;36;52;not applicable
Race for the Galaxy;https://boardgamegeek.com/boardgame/28143/race-for-the-galaxy;2007;38.1809989975593;160;33.575;2;35;82;not applicable
7 Wonders Duel;https://boardgamegeek.com/boardgame/173346/7-wonders-duel;2015;36.21638489617236;91;7.8791208791208796;2;71;10;not applicable
The Castles of Burgundy;https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy;2011;34.94914350871424;146;20.116438356164384;8;10;27;not applicable
Codenames;https://boardgamegeek.com/boardgame/178900/codenames;2015;34.9058657049722;93;24.0752688172043;1;31;53;not applicable
Agricola;https://boardgamegeek.com/boardgame/31260/agricola;2007;34.70321131762772;116;30.275862068965516;2;45;not applicable;17
Ticket to Ride;https://boardgamegeek.com/boardgame/9209/ticket-to-ride;2004;33.79775009014862;160;29.98125;6;11;34;not applicable
CATAN;https://boardgamegeek.com/boardgame/13/catan;1995;31.825895332625954;160;32.525;7;15;22;not applicable
Stone Age;https://boardgamegeek.com/boardgame/34635/stone-age;2008;29.30097131179279;148;37.66216216216216;7;20;not applicable;2
Scythe;https://boardgamegeek.com/boardgame/169786/scythe;2016;28.1297994404799;82;14.158536585365853;1;42;31;not applicable
Patchwork;https://boardgamegeek.com/boardgame/163412/patchwork;2014;27.53133713096578;99;15.848484848484848;4;26;17;not applicable
Lords of Waterdeep;https://boardgamegeek.com/boardgame/110327/lords-waterdeep;2012;26.776762550424863;118;36.855932203389834;2;26;not applicable;8
Kingdomino;https://boardgamegeek.com/boardgame/204583/kingdomino;2016;25.967307936792984;78;13.76923076923077;2;38;18;not applicable
Gloomhaven;https://boardgamegeek.com/boardgame/174430/gloomhaven;2017;24.809078218715396;75;19.293333333333333;1;36;55;not applicable
