objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Rhino Hero: Super Battle","218333","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135178","6.69806","7.20348","1.0957","924","11567","thing","Rhino Hero: Super Battle","2","4","20","20","10","2017","2,3,4","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Robotrick","374866","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135469","6.07643","7.53732","1.9259","2785","1656","thing","Robotrick","3","3","30","30","30","2020","3","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sandwich","80933","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937911","5.58868","6.30557","1","10053","489","thing","Sandwich","3","6","15","15","15","2010","4,5,6","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrabble","320","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135276","6.15132","6.27484","2.0521","2428","72101","thing","Scrabble","2","4","90","90","90","1948","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrabble Junior","2318","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135635","5.30937","4.75994","1.3556","30769","2826","thing","Scrabble Junior","2","4","30","30","30","1958","2,3,4","4","5+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"SET","1198","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937900","6.29709","6.51057","1.6499","1886","26582","thing","SET","1","20","30","30","30","1988","1,2,3,4,5,6,7,8","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull","92415","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937751","7.00949","7.17088","1.113","494","47589","thing","Skull","3","6","45","45","15","2011","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Skyjo","204135","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135987","6.28147","6.64104","1.0526","1943","15571","thing","Skyjo","2","8","45","45","15","2015","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Small World","40692","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135167","7.08378","7.19078","2.3464","409","104246","thing","Small World","2","5","80","80","40","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"So Clover!","329839","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135300","7.24569","7.59097","1.1208","269","20896","thing","So Clover!","3","6","30","30","30","2021","2,3,4,5,6","3,4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"SOS Dino","244320","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135599","5.83887","6.84079","1.1905","4411","1839","thing","SOS Dino","1","4","25","25","25","2018","1,2,3,4","4","4–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spot it!","63268","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135455","6.35803","6.52378","1.0375","1695","51141","thing","Spot it!","2","8","15","15","15","2009","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spring Meadow","253684","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937685","6.16134","7.01944","1.8298","2383","3624","thing","Spring Meadow","1","4","60","60","15","2018","1,2,3,4","2,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Realms","147020","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934485","7.39867","7.55091","1.9139","177","71679","thing","Star Realms","2","2","20","20","20","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Realms: Colony Wars","182631","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934516","7.25038","7.77853","1.8742","266","19856","thing","Star Realms: Colony Wars","2","2","20","20","20","2015","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Realms: Crisis – Bases & Battleships","166702","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934522","6.5601","7.69259","1.963","0","10038","thing","Star Realms: Crisis – Bases & Battleships","2","6","20","0","20","2014","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Star Realms: Crisis – Fleets & Fortresses","166704","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934525","6.51151","7.68693","1.98","0","9484","thing","Star Realms: Crisis – Fleets & Fortresses","2","6","20","0","20","2014","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Star Realms: United – Assault","208503","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934536","5.97473","7.7816","1.9167","0","4415","thing","Star Realms: United – Assault","2","2","20","0","20","2016","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Star Realms: United – Command","208501","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934532","5.96076","7.74987","1.9167","0","4344","thing","Star Realms: United – Command","2","2","20","0","20","2016","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Suburbia","123260","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934861","7.2755","7.45332","2.7562","251","31556","thing","Suburbia","1","4","90","90","60","2012","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sun Tzu","18745","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937810","6.28062","7.03569","2.0927","1945","4037","thing","Sun Tzu","2","2","30","30","30","2005","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Mario Match: The Crazy Cube Game","255819","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135691","5.47928","4.74943","1","29278","215","thing","Super Mario Match: The Crazy Cube Game","2","2","15","15","15","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
