objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"The 7th Continent: The Crystal's Song","311177","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81935013","5.76525","7.28162","3","0","3025","thing","The 7th Continent: The Crystal's Song","1","4","1000","1000","5","2020","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: The Flying Roots","237497","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","81935003","5.95276","7.85526","2.5714","0","7224","thing","The 7th Continent: The Flying Roots","1","4","1000","1000","5","2019","1,2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: The Forbidden Sanctuary","184186","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81935005","6.08975","8.17976","2.875","0","9653","thing","The 7th Continent: The Forbidden Sanctuary","1","4","1000","1000","5","2017","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: The Icy Maze","183660","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934977","6.05705","7.90866","2.8333","0","9818","thing","The 7th Continent: The Icy Maze","1","4","1000","1000","5","2017","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: The Veins of the Earth","312513","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81935022","5.62359","8.37661","3","0","1601","thing","The 7th Continent: The Veins of the Earth","1","4","10000","10000","5","2020","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: What Goes Up, Must Come Down","236206","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934974","6.64603","8.2261","3.0526","0","14914","thing","The 7th Continent: What Goes Up, Must Come Down","1","4","1000","1000","5","2019","1,2","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Agricola","31260","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934335","7.72277","7.85662","3.6353","64","90431","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola: All Creatures Big and Small – The Big Box","255262","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934383","6.50277","7.62763","2.3243","0","5720","thing","Agricola: All Creatures Big and Small – The Big Box","2","2","30","30","30","2018","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"ANTIFA: Le Jeu","349219","2","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135316","5.50653","6.30952","1","24047","78","thing","ANTIFA: Le Jeu","2","6","90","90","20","2021","","2","21 and up","","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934764","7.60491","7.71394","1.7722","99","185309","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blokus","2453","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937715","6.70787","6.86011","1.7294","905","44608","thing","Blokus","2","4","30","30","30","2000","2,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blue Moon City","21882","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937739","6.69866","7.03707","2.2852","920","10525","thing","Blue Moon City","2","4","50","50","30","2006","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blueprints","140933","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937656","6.44537","6.78093","1.6912","1459","9339","thing","Blueprints","2","4","30","30","30","2013","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Captain Flip","393325","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","147018645","6.71892","7.15168","1.2085","883","9648","thing","Captain Flip","2","5","20","20","20","2024","2,3,4,5","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne Big Box 3","141007","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934741","6.15924","7.87591","2.0857","0","2072","thing","Carcassonne Big Box 3","2","6","30","30","30","2010","2,3,4,5,6","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cargo Noir","90305","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934436","6.01346","6.44148","2.0879","3112","4265","thing","Cargo Noir","2","5","90","90","30","2011","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Chabyrinthe","33088","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146136004","5.64405","6.04043","1.2286","7694","2852","thing","Chabyrinthe","1","4","15","15","15","2007","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chess","171","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135270","7.03998","7.23948","3.6445","463","61447","thing","Chess","2","2","0","0","0","1475","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chicken Cha Cha Cha","3570","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135557","6.09735","6.56412","1.1197","2671","5425","thing","Chicken Cha Cha Cha","2","4","20","20","15","1997","2,3,4","4","3–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The City","103649","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","16865243","6.0275","6.50831","1.5556","3046","4052","thing","The City","2","5","30","30","30","2011","2,3,4,5","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934760","7.42719","7.52422","1.2543","160","181347","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Coloretto","5782","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135478","6.82047","6.98199","1.2698","732","31571","thing","Coloretto","2","5","30","30","30","2003","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Colt Express","158899","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934360","6.95271","7.0968","1.8347","558","51665","thing","Colt Express","2","6","40","40","40","2014","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Concept","147151","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937719","6.58098","6.73866","1.3754","1146","37670","thing","Concept","4","12","40","40","40","2013","3,4,5,6,7,8,9,10,11,12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Concept Kids: Animals","247314","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135561","6.03538","7.03414","1.1765","3007","3276","thing","Concept Kids: Animals","2","12","20","20","20","2018","2,3,4,5,6,7","4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cortex Challenge 2: Kids","237630","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135983","5.51942","6.17115","1","19653","259","thing","Cortex Challenge 2: Kids","2","6","15","15","15","2017","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: Mission Deep Sea","324856","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135339","7.80467","8.04508","2.0494","43","52116","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135340","7.61424","7.7535","1.9682","95","93991","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Défis Nature","100670","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135935","5.47514","5.01084","1","29526","324","thing","Défis Nature","2","6","20","20","20","2009","2,3,4","2","6+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Diamant","15512","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135771","6.71042","6.84813","1.1132","903","33293","thing","Diamant","3","8","40","40","20","2005","3,4,5,6,7,8","6,7,8","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Diamant: Caution and Betrayal","360880","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135781","5.57035","7.11487","1.3333","0","623","thing","Diamant: Caution and Betrayal","3","8","30","30","30","2023","4,5,6,7,8","4","6+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit 3: Journey","119657","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146142633","6.70507","7.71269","1.2371","0","9118","thing","Dixit 3: Journey","3","6","30","30","30","2012","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Anniversary","256237","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135204","6.32816","7.88503","1.2","0","6333","thing","Dixit: Anniversary","3","6","60","60","60","2018","4,5,6","5,6","6+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Daydreams","156189","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135213","6.56855","7.60708","1.2203","0","9676","thing","Dixit: Daydreams","3","6","30","30","30","2014","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Harmonies","234553","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135197","6.24489","7.79367","1.2083","0","5562","thing","Dixit: Harmonies","3","6","60","60","60","2017","4,5,6","5,6","6+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Memories","174090","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135194","6.67857","7.8537","1.2292","0","9541","thing","Dixit: Memories","3","6","30","30","30","2015","4,5,6","5,6","6+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Mirrors","301112","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135189","5.91954","7.83886","1.4545","0","3057","thing","Dixit: Mirrors","3","6","30","30","20","2020","4,5,6","5,6","6+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Odyssey","92828","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135184","7.1428","7.37888","1.1603","353","35199","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Origins","145325","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135198","6.67921","7.71006","1.275","0","9830","thing","Dixit: Origins","3","6","30","30","30","2013","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Quest","55660","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135201","7.09518","7.663","1.2297","0","18622","thing","Dixit: Quest","3","6","30","30","30","2010","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Revelations","205761","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135211","6.60362","7.88043","1.1818","0","8418","thing","Dixit: Revelations","3","6","30","30","30","2016","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion","36218","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934661","7.47409","7.59758","2.3443","146","130909","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominoes","2394","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135911","5.50139","5.56638","1.3655","25594","18342","thing","Dominoes","2","10","30","30","30","1500","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dorfromantik: The Board Game","370591","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135263","7.17325","7.58788","1.6353","326","24857","thing","Dorfromantik: The Board Game","1","6","60","60","30","2022","1,2,3","1,2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Draftosaurus","264055","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135594","6.85614","7.0811","1.2417","681","27901","thing","Draftosaurus","2","5","15","15","15","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragomino","300010","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135815","6.34121","7.02427","1.0588","1741","7440","thing","Dragomino","2","4","15","15","15","2020","2,3,4","3,4","4–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragon's Breath","235655","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135698","5.98833","6.55463","1.0469","3268","4266","thing","Dragon's Breath","2","4","20","20","15","2017","2,3,4","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens","172225","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934562","5.88759","6.06981","1.0798","3990","94100","thing","Exploding Kittens","2","5","15","15","15","2015","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: NSFW Edition","172242","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934569","5.95801","6.22986","1.0823","3449","33209","thing","Exploding Kittens: NSFW Edition","2","5","20","20","10","2015","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Farmini","244817","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","146136001","5.58221","6.46657","1","10468","682","thing","Farmini","1","4","15","15","15","2018","2,3,4","3","5–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flip 7","420087","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","147018636","6.99269","7.21524","1.0316","510","52655","thing","Flip 7","3","18","20","20","20","2024","3,4,5,6,7,8","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fresco","66188","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934558","6.96578","7.23898","2.6381","540","16823","thing","Fresco","2","4","60","60","60","2010","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gigamons","170969","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135787","5.6641","6.54018","1.15","7145","1050","thing","Gigamons","2","4","15","15","15","2014","2,3,4","3","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanabi","98778","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934778","6.92037","7.02829","1.6929","601","91035","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanna Honeybee","200871","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135645","5.51415","5.87165","1","21440","372","thing","Hanna Honeybee","1","4","10","10","5","2016","1,2,3,4","3","2–3","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Here, Fishy, Fishy!","132532","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135739","5.5339","5.82019","1","15875","929","thing","Here, Fishy, Fishy!","1","4","5","5","5","2012","1,2,3,4","2,3","2–4","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hey, That's My Fish!","8203","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937699","6.57133","6.69895","1.4447","1160","30406","thing","Hey, That's My Fish!","2","4","20","20","20","2003","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jamaica","28023","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934428","6.87534","7.05855","1.662","648","33056","thing","Jamaica","2","6","60","60","30","2007","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Je compose des mots","91098","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135998","0","3","0","0","4","thing","Je compose des mots","2","4","15","15","15","1974","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Jungle Speed","8098","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937908","6.24058","6.44869","1.1285","2082","24347","thing","Jungle Speed","2","10","10","10","10","1997","3,4,5,6,7,8,10","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Just One","254640","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135298","7.43667","7.59071","1.0334","157","60928","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Kangaroo","41860","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135877","5.50904","5.66057","1","23169","433","thing","Kangaroo","3","6","10","10","10","2009","3,4,5,6","4","5–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Karuba Junior","234439","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135588","5.6003","6.32275","1.1","9423","750","thing","Karuba Junior","1","4","10","10","5","2017","1,2,3,4","3","3–6","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Katamino","6931","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135305","5.82731","6.50699","1.7619","4517","3655","thing","Katamino","1","2","10","10","10","1992","1,2","1","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Katamino Duo","29138","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135401","5.56649","6.57479","1.3333","11668","512","thing","Katamino Duo","1","2","10","10","10","2006","1,2","2","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Builder","107529","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934454","6.78026","6.93301","2.071","787","31773","thing","Kingdom Builder","2","4","45","45","45","2011","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Builder: Crossroads","137396","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934461","6.23936","7.57124","2.3214","0","5165","thing","Kingdom Builder: Crossroads","2","5","45","45","45","2013","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Builder: Harvest","195267","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934458","5.69769","7.73238","2","0","1198","thing","Kingdom Builder: Harvest","2","4","45","45","45","2017","2,3,4","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Builder: Marshlands","179622","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934463","5.79112","7.38895","2.1667","0","2556","thing","Kingdom Builder: Marshlands","2","5","45","45","45","2016","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Builder: Nomads","117793","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934456","6.41584","7.32993","2.246","0","7784","thing","Kingdom Builder: Nomads","2","5","45","45","45","2012","2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdomino","204583","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934793","7.16875","7.2875","1.2395","328","91786","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino: Age of Giants","240909","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135392","6.41636","7.16332","1.6444","0","12146","thing","Kingdomino: Age of Giants","2","5","20","20","15","2018","2,3,4,5","5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"L.L.A.M.A.","266083","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135958","6.27711","6.49367","1.0532","1957","18690","thing","L.L.A.M.A.","2","6","20","20","20","2019","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Labyrinth","1219","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937779","6.23418","6.40922","1.3435","2110","34887","thing","Labyrinth","2","4","20","20","20","1986","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Linq","11945","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937859","5.93384","6.84676","1.4267","3621","2056","thing","Linq","4","8","45","45","45","2013","5,6,7,8","6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","In ludo veritas","French","2013","French second edition"
"Little Match","320846","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135897","0","6.71429","1","0","72","thing","Little Match","2","4","10","10","10","2020","2,3,4","3,4","2–5","","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Mime","320843","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135967","0","6.36538","1","0","51","thing","Little Mime","2","5","10","10","10","2020","2,3,4","2,3,4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Living Forest","328479","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135146","6.79299","7.21955","2.2169","767","13928","thing","Living Forest","1","4","40","40","40","2021","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep","110327","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934510","7.58052","7.72915","2.4483","106","74781","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep: Scoundrels of Skullport","134342","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135427","7.78683","8.21002","2.6513","0","36190","thing","Lords of Waterdeep: Scoundrels of Skullport","2","6","60","60","60","2013","2,3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Lords of Xidit","156566","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937732","6.6406","7.07497","2.6376","1028","9681","thing","Lords of Xidit","3","5","90","90","90","2014","4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934344","7.15318","7.25973","1.474","347","76648","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","129622","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934637","7.12266","7.22636","1.1845","369","118136","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Magic: The Gathering","463","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934858","7.41162","7.59642","3.2833","170","48020","thing","Magic: The Gathering","2","6","20","20","20","1993","2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Mascarade","139030","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937749","6.32796","6.54914","1.5284","1780","18039","thing","Mascarade","2","13","30","30","30","2013","4,5,6,7,8,9,10,11","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mascarade: The Damned","146565","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146215063","5.56136","6.54521","1.5","0","1061","thing","Mascarade: The Damned","2","13","30","30","30","2013","4,5,6,7,8","5","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Mascarade: Usurper","144984","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146215048","5.59966","6.91167","1.6","0","1013","thing","Mascarade: Usurper","0","0","0","0","0","2013","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Mexica","2955","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934507","6.75328","7.24278","2.6706","830","9925","thing","Mexica","2","4","90","90","90","2002","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Micons","313241","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135895","5.54073","7.12794","1","14649","216","thing","Micons","2","4","20","20","20","2020","2,3,4","2","4–12","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mimose & Sam et le Voleur de Fruits","420360","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135596","5.54255","7.6468","1","14355","112","thing","Mimose & Sam et le Voleur de Fruits","2","4","20","20","15","2024","2,3,4","3,4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Monster Chase","43578","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135607","5.77736","6.30829","1.0328","5083","3012","thing","Monster Chase","1","6","10","10","10","2009","1,2,3,4,5","3","3–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"My First Carcassonne","41010","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135602","6.2266","6.65037","1.127","2135","10462","thing","My First Carcassonne","2","4","20","20","10","2009","2,3,4","4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"My First Scrabble","29356","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135643","0","5.26667","1","0","49","thing","My First Scrabble","1","0","0","0","0","1999","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
