title;url;release_date;points;months in top 100;average position in top 100;peak position;months in top 10;current position in top 100;months since leaving top 100
7 Wonders;https://boardgamegeek.com/boardgame/68448/7-wonders;2010;79.27683776457538;163;10.447852760736197;1;103;34;not applicable
Dominion;https://boardgamegeek.com/boardgame/36218/dominion;2008;61.00667564849744;172;24.66860465116279;1;69;65;not applicable
Carcassonne;https://boardgamegeek.com/boardgame/822/carcassonne;2000;58.54233278049313;172;9.901162790697674;3;97;17;not applicable
Wingspan;https://boardgamegeek.com/boardgame/266192/wingspan;2019;57.12486528884018;64;1.5;1;64;3;not applicable
Terraforming Mars;https://boardgamegeek.com/boardgame/167791/terraforming-mars;2016;56.47008723223107;92;3.739130434782609;1;91;2;not applicable
Splendor;https://boardgamegeek.com/boardgame/148228/splendor;2014;55.18900526104387;121;7.355371900826446;1;90;16;not applicable
Azul;https://boardgamegeek.com/boardgame/230802/azul;2017;49.89614101405419;79;3.8987341772151898;1;78;4;not applicable
Love Letter;https://boardgamegeek.com/boardgame/129622/love-letter;2012;45.9194163462148;139;26.798561151079138;1;45;74;not applicable
Pandemic;https://boardgamegeek.com/boardgame/30549/pandemic;2008;44.78018431896961;170;27.076470588235296;3;63;88;not applicable
King of Tokyo;https://boardgamegeek.com/boardgame/70323/king-of-tokyo;2011;42.603909272553025;156;27.98076923076923;2;36;61;not applicable
7 Wonders Duel;https://boardgamegeek.com/boardgame/173346/7-wonders-duel;2015;39.84059046897279;103;8.262135922330097;2;76;13;not applicable
Race for the Galaxy;https://boardgamegeek.com/boardgame/28143/race-for-the-galaxy;2007;39.37619797813761;171;36.900584795321635;2;35;91;not applicable
The Castles of Burgundy;https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy;2011;37.57404461475993;158;20.21518987341772;8;10;20;not applicable
Codenames;https://boardgamegeek.com/boardgame/178900/codenames;2015;36.62038933711757;105;27.295238095238094;1;31;68;not applicable
Ticket to Ride;https://boardgamegeek.com/boardgame/9209/ticket-to-ride;2004;35.982979610547225;172;30.040697674418606;6;11;44;not applicable
Agricola;https://boardgamegeek.com/boardgame/31260/agricola;2007;34.70321131762772;116;30.275862068965516;2;45;not applicable;29
CATAN;https://boardgamegeek.com/boardgame/13/catan;1995;33.57436184856053;172;33.598837209302324;7;15;54;not applicable
Patchwork;https://boardgamegeek.com/boardgame/163412/patchwork;2014;30.26730525424856;111;16.234234234234233;4;26;22;not applicable
Scythe;https://boardgamegeek.com/boardgame/169786/scythe;2016;30.119441135165612;94;17.127659574468087;1;42;48;not applicable
